,zespol,slupek,nazwa_zespolu,id_ulicy,szer_geo,dlug_geo,kierunek,obowiazuje_od
687,1210,01,Szwoleżerów,1757,52.284134,21.110058,Cmentarz,2023-10-14 00:00:00.0
688,1210,02,Szwoleżerów,1757,52.285051,21.109691,Warszawska,2023-10-14 00:00:00.0
689,1211,01,Warszawska,2526,52.286335,21.105668,Klamrowa,2023-10-14 00:00:00.0
690,1211,02,Warszawska,2526,52.286645,21.106936,Piłsudskiego,2023-10-14 00:00:00.0
691,1213,01,Gościeradowska,0212,52.276193,21.047164,Metro Trocka,2023-10-14 00:00:00.0
692,1213,02,Gościeradowska,0212,52.276167,21.046088,św.Wincentego,2023-10-14 00:00:00.0
693,1213,81,Gościeradowska,null,52.276193,21.047164,null,2023-10-14 00:00:00.0
694,1213,82,Gościeradowska,null,52.276167,21.046088,null,2023-10-14 00:00:00.0
695,1215,01,Gilarska,1567,52.286574,21.047238,Chodecka,2023-10-14 00:00:00.0
696,1215,02,Gilarska,null,52.286429,21.047256,św.Wincentego,2023-10-14 00:00:00.0
697,1215,03,Gilarska,0824,52.286526,21.048894,Rolanda,2023-10-14 00:00:00.0
698,1215,04,Gilarska,0824,52.285983,21.049693,Rolanda,2023-10-14 00:00:00.0
699,1215,55,Gilarska,null,52.285884,21.047864,null,2023-10-14 00:00:00.0
700,1216,02,Balkonowa,1567,52.285086,21.042259,Gilarska,2023-10-14 00:00:00.0
701,1216,04,Balkonowa,0309,52.285578,21.040689,Wyszogrodzka,2023-10-14 00:00:00.0
702,1216,52,Balkonowa,null,52.285228,21.040679,null,2023-10-14 00:00:00.0
703,1216,72,Balkonowa,null,52.285339,21.043209,null,2023-10-14 00:00:00.0
704,1217,01,Księcia Ziemowita,1613,52.262632,21.060010,Radzymińska,2023-10-14 00:00:00.0
705,1217,02,Księcia Ziemowita,1613,52.262333,21.060860,Siarczana,2023-10-14 00:00:00.0
706,1217,04,Księcia Ziemowita,1240,52.262756,21.061059,Chemiczna,2023-10-14 00:00:00.0
707,1218,01,Sadkowska,0223,52.336240,20.988950,PKP Płudy,2023-10-14 00:00:00.0
708,1218,02,Sadkowska,0223,52.337048,20.990238,Ołówkowa,2023-10-14 00:00:00.0
709,1219,01,Milenijna,2108,52.319480,20.968375,Modlińska,2023-10-14 00:00:00.0
710,1219,02,Milenijna,2108,52.318856,20.966187,Myśliborska,2023-10-14 00:00:00.0
711,1220,01,Sierakowskiego,2531,52.250013,21.030829,Jagiellońska,2023-10-14 00:00:00.0
712,1220,02,Sierakowskiego,1728,52.250265,21.033314,Wybrzeże Szczecińskie,2023-10-14 00:00:00.0
713,1221,02,Radzymińska,1909,52.300821,21.086955,Wolności,2023-10-14 00:00:00.0
714,1222,01,Cmentarz,1757,52.281143,21.112225,Powstańców,2023-10-14 00:00:00.0
715,1222,02,Cmentarz,1757,52.282231,21.111445,Szwoleżerów,2023-10-14 00:00:00.0
716,1223,01,Wyszkowska,null,52.329219,21.058769,Kąty Grodziskie,2023-10-14 00:00:00.0
717,1223,02,Wyszkowska,null,52.329480,21.058545,,2023-10-14 00:00:00.0
718,1224,01,Atrakcyjna,null,52.332988,21.055116,,2023-10-14 00:00:00.0
719,1224,02,Atrakcyjna,null,52.332355,21.055843,Zdziarska-Kanał,2023-10-14 00:00:00.0
720,1225,01,Zdziarska-Kanał,2605,52.340221,21.049016,Mańki-Wojdy,2023-10-14 00:00:00.0
721,1225,01,Zdziarska-Kanał,2605,52.340214,21.048737,Mańki-Wojdy,2023-11-09 00:00:00.0
722,1225,02,Zdziarska-Kanał,1249,52.339946,21.051179,Spichrzowa,2023-10-14 00:00:00.0
723,1225,03,Zdziarska-Kanał,1249,52.340031,21.051327,Zdziarska,2023-10-14 00:00:00.0
724,1226,01,Mańki-Wojdy,2959,52.339558,21.047644,Małego Rycerza,2023-10-14 00:00:00.0
725,1226,02,Mańki-Wojdy,2959,52.340453,21.047477,Mochtyńska-Kanał,2023-10-14 00:00:00.0
726,1226,04,Mańki-Wojdy,2605,52.340126,21.048734,Kąty Grodziskie,2023-10-14 00:00:00.0
727,1226,51,Mańki-Wojdy,null,52.340831,21.047295,null,2023-10-14 00:00:00.0
728,1226,52,Mańki-Wojdy,null,52.338627,21.047457,null,2023-10-14 00:00:00.0
729,1227,01,Lwowska,2015,52.403300,20.913560,Arena Legionowo,2023-10-14 00:00:00.0
730,1227,02,Lwowska,2015,52.405071,20.913490,Cynkowa,2023-10-14 00:00:00.0
731,1227,03,Lwowska,1857,52.402990,20.915099,Arena Legionowo,2023-10-14 00:00:00.0
732,1227,04,Lwowska,1857,52.402933,20.915267,Jagiellońska,2023-10-14 00:00:00.0
733,1228,01,Rycerska,2015,52.395943,20.919109,Husarska,2023-10-14 00:00:00.0
734,1228,02,Rycerska,2015,52.397025,20.918460,Arena Legionowo,2023-10-14 00:00:00.0
735,1228,04,Rycerska,1216,52.396650,20.919410,Mickiewicza,2023-10-14 00:00:00.0
736,1229,01,Husarska,2015,52.393413,20.921064,Siwińskiego,2023-10-14 00:00:00.0
737,1229,02,Husarska,2015,52.394891,20.920132,Rycerska,2023-10-14 00:00:00.0
738,1230,01,Siwińskiego,2015,52.390580,20.924951,Warszawska,2023-10-14 00:00:00.0
739,1230,02,Siwińskiego,2015,52.391818,20.923309,Husarska,2023-10-14 00:00:00.0
