,Lines,Lon,VehicleNumber,Time,Lat,Brigade,nearest_stop,distance_to_stop,is_at_stop
46436,154,20.964006,4239,2024-02-19 10:33:04,52.217148,2,4045,19.530140219563172,no
46437,255,20.931019,4240,2024-02-19 10:33:02,52.225296,1,5011,1.1066747046239735,yes
46438,197,20.9496822,4241,2024-02-19 10:33:03,52.2702389,1,6087,120.95633121763643,no
46439,122,20.962013,4242,2024-02-19 10:33:02,52.259247,2,6091,27.761887462133053,no
46441,197,20.930098,4244,2024-02-19 10:33:01,52.224964,4,5011,42.02004882231637,no
46443,129,20.9390882,4246,2024-02-19 10:33:05,52.2463047,2,5073,11.5466768957663,yes
46445,122,20.896244,4248,2024-02-19 10:33:04,52.239029,679,5050,11.464261434999369,yes
46447,146,21.1179449,4300,2024-02-19 10:33:04,52.2342632,3,R-10,149.22361678800885,no
46448,173,21.218327,4301,2024-02-19 10:33:04,52.2171507,1,2346,164.69107478536134,no
46449,153,21.1750792,4302,2024-02-19 10:33:04,52.2567919,3,2086,142.87806649902683,no
46450,146,21.2046589,4303,2024-02-19 10:33:04,52.1594571,4,2052,5.403558551968738,yes
46451,115,21.1683102,4304,2024-02-19 10:33:04,52.2106087,1,2027,126.09313813921297,no
46452,146,21.06949,4305,2024-02-19 10:33:05,52.2215076,5,2203,31.537313985691906,no
46456,115,21.2144141,4309,2024-02-19 10:33:05,52.1617027,3,2160,26.069513206788372,no
46458,168,21.0971227,4311,2024-02-19 10:33:04,52.2341987,6,2102,9.666852588033114,yes
46460,142,21.115693,4313,2024-02-19 10:32:58,52.233935,06,R-10,150.43126516294953,no
46462,168,21.1145359,4315,2024-02-19 10:33:04,52.2336197,08,2104,81.8212291160379,no
46464,117,21.096763,4317,2024-02-19 10:33:03,52.2211594,1,2269,15.222969930179936,no
46465,183,21.1353222,4318,2024-02-19 10:33:04,52.2418765,2,2059,70.28178401807706,no
46467,147,21.0501112,4320,2024-02-19 10:33:04,52.2473954,4,2002,72.69317033907474,no
46469,119,21.0427676,4322,2024-02-19 10:33:04,52.2022285,3,3086,46.61935116781308,no
46470,702,21.1543631,4323,2024-02-19 10:33:04,52.1733166,1,2198,136.08399542247827,no
46473,168,21.0703522,4326,2024-02-19 10:33:00,52.2029447,1,3323,4.31084959775249,yes
46475,146,21.0522792,4328,2024-02-19 10:33:04,52.2502909,1,2120,10.791776455995787,yes
46477,207,20.8864717,4330,2024-02-19 10:33:04,52.1953477,06,4217,10.095897492839194,yes
46478,197,20.9420674,4331,2024-02-19 10:33:04,52.2262339,5,5009,46.75648542205072,no
46479,249,20.900789,4332,2024-02-19 10:33:04,52.2391487,678,,,no
46481,320,20.9220322,4334,2024-02-19 10:33:05,52.1965281,787,,,no
46483,129,20.9151465,4336,2024-02-19 10:33:05,52.23157,3,5059,29.050265040140076,no
46484,197,20.9397501,4337,2024-02-19 10:33:04,52.2453004,2,5073,110.1119857312793,no
